Timestamp,Container,CPU,Mem
1771173234,axum-api_mssql_1,7.97%,921.1MB / 8.296GB
1771173234,kafka1,18.47%,846.5MB / 8.296GB
1771173234,kafka2,18.95%,914MB / 8.296GB
1771173234,kafka3,27.76%,1.028GB / 8.296GB
1771173234,envoy-server,0.24%,13.03MB / 8.296GB
1771173234,envoy-client,0.22%,12.51MB / 8.296GB
1771173234,kafka-cluster-ui,8.99%,335.1MB / 8.296GB
1771173234,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173234,axum-api_axum-api_1,69.77%,45.54MB / 8.296GB
1771173236,axum-api_redis_1,1.54%,258.9MB / 8.296GB
1771173236,axum-api_mssql_1,7.85%,921.1MB / 8.296GB
1771173236,kafka1,18.21%,846.6MB / 8.296GB
1771173236,kafka2,18.68%,914MB / 8.296GB
1771173236,kafka3,27.73%,1.031GB / 8.296GB
1771173236,envoy-server,0.24%,13.03MB / 8.296GB
1771173236,envoy-client,0.22%,12.51MB / 8.296GB
1771173236,kafka-cluster-ui,8.82%,335.1MB / 8.296GB
1771173236,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173236,axum-api_axum-api_1,70.62%,45.86MB / 8.296GB
1771173238,axum-api_redis_1,1.52%,258.9MB / 8.296GB
1771173238,axum-api_mssql_1,7.74%,921.1MB / 8.296GB
1771173238,kafka1,17.95%,846.7MB / 8.296GB
1771173238,kafka2,18.42%,914MB / 8.296GB
1771173238,kafka3,27.59%,1.033GB / 8.296GB
1771173238,envoy-server,0.24%,13.03MB / 8.296GB
1771173238,envoy-client,0.22%,12.51MB / 8.296GB
1771173238,kafka-cluster-ui,8.66%,335.1MB / 8.296GB
1771173238,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173238,axum-api_axum-api_1,71.35%,45.27MB / 8.296GB
1771173240,axum-api_redis_1,1.50%,258.9MB / 8.296GB
1771173240,axum-api_mssql_1,7.64%,921.1MB / 8.296GB
1771173240,kafka1,17.71%,846.7MB / 8.296GB
1771173240,kafka2,18.16%,914MB / 8.296GB
1771173240,kafka3,27.46%,1.033GB / 8.296GB
1771173240,envoy-server,0.24%,13.03MB / 8.296GB
1771173240,envoy-client,0.22%,12.51MB / 8.296GB
1771173240,kafka-cluster-ui,8.51%,335.1MB / 8.296GB
1771173240,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173240,axum-api_axum-api_1,72.10%,45.01MB / 8.296GB
1771173242,axum-api_redis_1,1.48%,258.9MB / 8.296GB
1771173242,axum-api_mssql_1,7.53%,921.1MB / 8.296GB
1771173242,kafka1,17.96%,908.3MB / 8.296GB
1771173242,kafka2,17.92%,914MB / 8.296GB
1771173242,kafka3,27.31%,1.033GB / 8.296GB
1771173242,envoy-server,0.24%,13.03MB / 8.296GB
1771173242,envoy-client,0.22%,12.51MB / 8.296GB
1771173242,kafka-cluster-ui,8.36%,335.1MB / 8.296GB
1771173242,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173242,axum-api_axum-api_1,72.73%,46.07MB / 8.296GB
1771173244,axum-api_redis_1,1.45%,258.9MB / 8.296GB
1771173244,axum-api_mssql_1,7.44%,921.3MB / 8.296GB
1771173244,kafka1,18.02%,847MB / 8.296GB
1771173244,kafka2,18.48%,914MB / 8.296GB
1771173244,kafka3,27.95%,1.033GB / 8.296GB
1771173244,envoy-server,0.24%,13.03MB / 8.296GB
1771173244,envoy-client,0.22%,12.51MB / 8.296GB
1771173244,kafka-cluster-ui,8.22%,335MB / 8.296GB
1771173244,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173244,axum-api_axum-api_1,73.20%,45.03MB / 8.296GB
1771173246,axum-api_redis_1,1.43%,258.9MB / 8.296GB
1771173246,axum-api_mssql_1,7.35%,921.5MB / 8.296GB
1771173246,kafka1,17.81%,847.3MB / 8.296GB
1771173246,kafka2,18.26%,914.1MB / 8.296GB
1771173246,kafka3,27.81%,1.033GB / 8.296GB
1771173246,envoy-server,0.24%,13.03MB / 8.296GB
1771173246,envoy-client,0.22%,12.51MB / 8.296GB
1771173246,kafka-cluster-ui,8.13%,335.5MB / 8.296GB
1771173246,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173246,axum-api_axum-api_1,73.79%,44.87MB / 8.296GB
1771173249,axum-api_redis_1,1.41%,258.9MB / 8.296GB
1771173249,axum-api_mssql_1,7.26%,921.1MB / 8.296GB
1771173249,kafka1,17.59%,847.4MB / 8.296GB
1771173249,kafka2,18.03%,914.2MB / 8.296GB
1771173249,kafka3,27.63%,1.033GB / 8.296GB
1771173249,envoy-server,0.24%,13.03MB / 8.296GB
1771173249,envoy-client,0.21%,12.51MB / 8.296GB
1771173249,kafka-cluster-ui,7.99%,335.5MB / 8.296GB
1771173249,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173249,axum-api_axum-api_1,74.30%,45.69MB / 8.296GB
1771173251,axum-api_redis_1,1.39%,258.9MB / 8.296GB
1771173251,axum-api_mssql_1,7.17%,921.2MB / 8.296GB
1771173251,kafka1,17.37%,847.4MB / 8.296GB
1771173251,kafka2,17.80%,914.2MB / 8.296GB
1771173251,kafka3,27.48%,1.033GB / 8.296GB
1771173251,envoy-server,0.24%,13.03MB / 8.296GB
1771173251,envoy-client,0.21%,12.51MB / 8.296GB
1771173251,kafka-cluster-ui,7.86%,335.5MB / 8.296GB
1771173251,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173251,axum-api_axum-api_1,74.83%,45.39MB / 8.296GB
1771173253,axum-api_redis_1,1.37%,258.9MB / 8.296GB
1771173253,axum-api_mssql_1,7.08%,921.2MB / 8.296GB
1771173253,kafka1,17.16%,847.5MB / 8.296GB
1771173253,kafka2,17.58%,914.2MB / 8.296GB
1771173253,kafka3,27.36%,1.034GB / 8.296GB
1771173253,envoy-server,0.24%,13.03MB / 8.296GB
1771173253,envoy-client,0.21%,12.53MB / 8.296GB
1771173253,kafka-cluster-ui,7.74%,335.5MB / 8.296GB
