Timestamp,Container,CPU,Mem
1771173302,axum-api_axum-api_1,60.78%,48.48MB / 8.296GB
1771173304,axum-api_redis_1,1.07%,258.9MB / 8.296GB
1771173304,axum-api_mssql_1,5.53%,921.2MB / 8.296GB
1771173304,kafka1,15.66%,853MB / 8.296GB
1771173304,kafka2,16.21%,1.002GB / 8.296GB
1771173304,kafka3,25.56%,1.036GB / 8.296GB
1771173304,envoy-server,0.24%,13.03MB / 8.296GB
1771173304,envoy-client,0.21%,12.54MB / 8.296GB
1771173304,kafka-cluster-ui,5.65%,336.1MB / 8.296GB
1771173304,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173304,axum-api_axum-api_1,62.24%,47.83MB / 8.296GB
1771173306,axum-api_redis_1,1.06%,258.9MB / 8.296GB
1771173306,axum-api_mssql_1,5.49%,921.3MB / 8.296GB
1771173306,kafka1,15.54%,853MB / 8.296GB
1771173306,kafka2,16.07%,1.002GB / 8.296GB
1771173306,kafka3,25.47%,1.036GB / 8.296GB
1771173306,envoy-server,0.24%,13.03MB / 8.296GB
1771173306,envoy-client,0.21%,12.54MB / 8.296GB
1771173306,kafka-cluster-ui,5.62%,336.6MB / 8.296GB
1771173306,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173306,axum-api_axum-api_1,63.57%,48.62MB / 8.296GB
1771173309,axum-api_redis_1,1.05%,258.9MB / 8.296GB
1771173309,axum-api_mssql_1,5.44%,921.3MB / 8.296GB
1771173309,kafka1,15.63%,899.4MB / 8.296GB
1771173309,kafka2,15.94%,1.002GB / 8.296GB
1771173309,kafka3,25.38%,1.036GB / 8.296GB
1771173309,envoy-server,0.24%,13.03MB / 8.296GB
1771173309,envoy-client,0.21%,12.54MB / 8.296GB
1771173309,kafka-cluster-ui,5.56%,336.6MB / 8.296GB
1771173309,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173309,axum-api_axum-api_1,64.72%,47.75MB / 8.296GB
1771173311,axum-api_redis_1,1.04%,258.9MB / 8.296GB
1771173311,axum-api_mssql_1,5.40%,921.1MB / 8.296GB
1771173311,kafka1,15.77%,849.7MB / 8.296GB
1771173311,kafka2,15.84%,1.002GB / 8.296GB
1771173311,kafka3,25.30%,1.037GB / 8.296GB
1771173311,envoy-server,0.24%,13.03MB / 8.296GB
1771173311,envoy-client,0.21%,12.54MB / 8.296GB
1771173311,kafka-cluster-ui,5.50%,336.6MB / 8.296GB
1771173311,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173311,axum-api_axum-api_1,65.74%,48.13MB / 8.296GB
1771173313,axum-api_redis_1,1.03%,258.9MB / 8.296GB
1771173313,axum-api_mssql_1,5.36%,921.1MB / 8.296GB
1771173313,kafka1,15.65%,851.9MB / 8.296GB
1771173313,kafka2,16.26%,1.093GB / 8.296GB
1771173313,kafka3,25.78%,1.127GB / 8.296GB
1771173313,envoy-server,0.24%,13.03MB / 8.296GB
1771173313,envoy-client,0.21%,12.54MB / 8.296GB
1771173313,kafka-cluster-ui,5.44%,336.6MB / 8.296GB
1771173313,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173313,axum-api_axum-api_1,66.54%,49.65MB / 8.296GB
1771173315,axum-api_redis_1,1.02%,258.9MB / 8.296GB
1771173315,axum-api_mssql_1,5.33%,921.1MB / 8.296GB
1771173315,kafka1,15.52%,854.9MB / 8.296GB
1771173315,kafka2,16.13%,1.003GB / 8.296GB
1771173315,kafka3,25.69%,1.038GB / 8.296GB
1771173315,envoy-server,0.24%,13.03MB / 8.296GB
1771173315,envoy-client,0.21%,12.54MB / 8.296GB
1771173315,kafka-cluster-ui,5.38%,336.6MB / 8.296GB
1771173315,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173315,axum-api_axum-api_1,67.45%,49.22MB / 8.296GB
1771173317,axum-api_redis_1,1.01%,258.9MB / 8.296GB
1771173317,axum-api_mssql_1,5.29%,921.1MB / 8.296GB
1771173317,kafka1,15.40%,860MB / 8.296GB
1771173317,kafka2,15.99%,1.003GB / 8.296GB
1771173317,kafka3,25.61%,1.038GB / 8.296GB
1771173317,envoy-server,0.24%,13.03MB / 8.296GB
1771173317,envoy-client,0.21%,12.54MB / 8.296GB
1771173317,kafka-cluster-ui,5.32%,336.6MB / 8.296GB
1771173317,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173317,axum-api_axum-api_1,68.26%,50.18MB / 8.296GB
1771173319,axum-api_redis_1,1.00%,258.9MB / 8.296GB
1771173319,axum-api_mssql_1,5.25%,921.1MB / 8.296GB
1771173319,kafka1,15.27%,861.6MB / 8.296GB
1771173319,kafka2,15.86%,1.003GB / 8.296GB
1771173319,kafka3,25.53%,1.039GB / 8.296GB
1771173319,envoy-server,0.24%,13.03MB / 8.296GB
1771173319,envoy-client,0.21%,12.54MB / 8.296GB
1771173319,kafka-cluster-ui,5.27%,336.6MB / 8.296GB
1771173319,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173319,axum-api_axum-api_1,69.03%,49.48MB / 8.296GB
1771173321,axum-api_redis_1,1.00%,258.9MB / 8.296GB
1771173321,axum-api_mssql_1,5.21%,921.1MB / 8.296GB
1771173321,kafka1,15.59%,861.6MB / 8.296GB
1771173321,kafka2,15.74%,1.003GB / 8.296GB
1771173321,kafka3,25.45%,1.039GB / 8.296GB
1771173321,envoy-server,0.24%,13.03MB / 8.296GB
1771173321,envoy-client,0.21%,12.54MB / 8.296GB
1771173321,kafka-cluster-ui,5.21%,336.6MB / 8.296GB
1771173321,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173321,axum-api_axum-api_1,69.75%,49.49MB / 8.296GB
1771173323,axum-api_redis_1,0.99%,258.9MB / 8.296GB
1771173323,axum-api_mssql_1,5.17%,921.1MB / 8.296GB
1771173323,kafka1,15.47%,861.6MB / 8.296GB
1771173323,kafka2,15.76%,1.043GB / 8.296GB
1771173323,kafka3,25.52%,1.079GB / 8.296GB
1771173323,envoy-server,0.24%,13.03MB / 8.296GB
1771173323,envoy-client,0.21%,12.54MB / 8.296GB
1771173323,kafka-cluster-ui,5.16%,336.6MB / 8.296GB
1771173323,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173323,axum-api_axum-api_1,70.42%,49.48MB / 8.296GB
1771173326,axum-api_redis_1,0.98%,258.9MB / 8.296GB
1771173326,axum-api_mssql_1,5.14%,921.1MB / 8.296GB
1771173326,kafka1,15.37%,861.6MB / 8.296GB
1771173326,kafka2,15.93%,1.003GB / 8.296GB
1771173326,kafka3,25.75%,1.039GB / 8.296GB
1771173326,envoy-server,0.24%,13.04MB / 8.296GB
1771173326,envoy-client,0.21%,12.54MB / 8.296GB
1771173326,kafka-cluster-ui,5.10%,336.6MB / 8.296GB
1771173326,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173326,axum-api_axum-api_1,71.01%,49.58MB / 8.296GB
1771173328,axum-api_redis_1,0.97%,258.9MB / 8.296GB
1771173328,axum-api_mssql_1,5.10%,921.1MB / 8.296GB
1771173328,kafka1,15.25%,861.8MB / 8.296GB
1771173328,kafka2,15.81%,1.003GB / 8.296GB
1771173328,kafka3,25.67%,1.039GB / 8.296GB
1771173328,envoy-server,0.24%,13.04MB / 8.296GB
1771173328,envoy-client,0.21%,12.54MB / 8.296GB
1771173328,kafka-cluster-ui,5.05%,336.6MB / 8.296GB
1771173328,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173328,axum-api_axum-api_1,71.63%,49.39MB / 8.296GB
1771173330,axum-api_redis_1,0.96%,258.9MB / 8.296GB
1771173330,axum-api_mssql_1,5.06%,921.1MB / 8.296GB
1771173330,kafka1,15.13%,861.9MB / 8.296GB
1771173330,kafka2,15.69%,1.003GB / 8.296GB
1771173330,kafka3,25.57%,1.039GB / 8.296GB
1771173330,envoy-server,0.24%,13.04MB / 8.296GB
1771173330,envoy-client,0.21%,12.55MB / 8.296GB
1771173330,kafka-cluster-ui,5.00%,336.6MB / 8.296GB
1771173330,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173330,axum-api_axum-api_1,72.21%,49.52MB / 8.296GB
1771173332,axum-api_redis_1,0.96%,258.9MB / 8.296GB
1771173332,axum-api_mssql_1,5.03%,921.1MB / 8.296GB
1771173332,kafka1,15.45%,862.1MB / 8.296GB
1771173332,kafka2,15.57%,1.003GB / 8.296GB
1771173332,kafka3,25.49%,1.039GB / 8.296GB
1771173332,envoy-server,0.24%,13.04MB / 8.296GB
1771173332,envoy-client,0.21%,12.55MB / 8.296GB
1771173332,kafka-cluster-ui,4.95%,336.6MB / 8.296GB
1771173332,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173332,axum-api_axum-api_1,72.73%,50.59MB / 8.296GB
1771173334,axum-api_redis_1,0.95%,258.9MB / 8.296GB
1771173334,axum-api_mssql_1,4.99%,921.1MB / 8.296GB
1771173334,kafka1,15.33%,862.4MB / 8.296GB
1771173334,kafka2,15.46%,1.003GB / 8.296GB
1771173334,kafka3,25.41%,1.039GB / 8.296GB
1771173334,envoy-server,0.24%,13.04MB / 8.296GB
1771173334,envoy-client,0.21%,12.55MB / 8.296GB
1771173334,kafka-cluster-ui,4.90%,336.6MB / 8.296GB
1771173334,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173334,axum-api_axum-api_1,73.22%,49.71MB / 8.296GB
1771173336,axum-api_redis_1,0.94%,258.9MB / 8.296GB
1771173336,axum-api_mssql_1,4.96%,921.1MB / 8.296GB
1771173336,kafka1,15.24%,862.9MB / 8.296GB
1771173336,kafka2,15.83%,1.003GB / 8.296GB
1771173336,kafka3,25.76%,1.04GB / 8.296GB
1771173336,envoy-server,0.24%,13.04MB / 8.296GB
1771173336,envoy-client,0.21%,12.55MB / 8.296GB
1771173336,kafka-cluster-ui,4.88%,337MB / 8.296GB
1771173336,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173336,axum-api_axum-api_1,73.57%,49.58MB / 8.296GB
